name_en,name_de,color_en,sku,price_usd,price_eur,instock,description_en,description_de,category_en,active,image_main,image_alt,image_alt2,image_alt3
hybris Lipbalm 2-pack,hybris Lippenbalsam 2-pack ,White,1234028,2.49,1.99,1,Keep your lips from cracking this winter. hybris lipbalm is developed with a special formula from the Swiss alps. Making sure you can smile comfortably to your colleagues all day long. ,"Halten Sie Ihre Lippen vor Rissen in diesem Winter. hybris lipbalm ist mit einer speziellen Formel aus den Schweizer Alpen entwickelt. Daf’_r, dass Sie bequem an Ihre Kollegen den ganzen Tag l’_cheln kann. ",Accessories,1,lipbalm-3.jpg,lipbalm-1.jpg,lipbalm-2.jpg,
hybris Thermos 2-pack,hybris Thermos 2-pack ,White/Blue,1234029,26.99,21.59,1,Practical thermos with hook. Make sure your coffee or tea stays warm for hours in this sleek looking thermos with printed hybris logo. ,"Praktische Thermoskanne mit Haken. Stellen Sie sicher, Ihren Kaffee oder Tee warm bleibt f’_r Stunden in diesem schlanke suchen Thermos mit gedruckten hybris-Logo. ",Thermos bottles,1,bottle-thermo-2-pack.jpg,bottle-thermo-white-1.jpg,bottle-thermo-blue-1.jpg,
hybris Women's T-shirt - Gray,hybris Frauen-T-Shirt - Grau ,Gray,1234030,14.99,11.99,1,Body shaped t-shirt for women in dark grey. Look perfectly relaxed in jeans and this simple t-shirt with a fashionable cut. ,K’_rper geformt T-Shirt f’_r Frauen in dunkelgrau. Schauen Sie in Jeans perfekt entspannt und diese einfache T-Shirt mit einem modischen Schnitt. ,T-shirts,1,t-shirt-gray-1.jpg,t-shirt-gray-2.jpg,t-shirt-3-pack.jpg,
hybris Mens Half Bottom T-shirt,hybris Herren Halb unten T-Shirt ,Black,1234031,19.99,15.99,1,Get the smart casual look with this black t-shirt with collar and three buttons. ,Holen Sie sich das smart casual Look mit diesem schwarzen T-Shirt mit Kragen und drei Kn’_pfen. ,T-shirts,1,t-shirt-half-button-1.jpg,t-shirt-half-button-2.jpg,t-shirt-3-pack.jpg,
hybris Squeeze Ball - 4-pack,hybris Stress Ball - 4er-Pack ,Pink/Blue/Green/Black,1234032,7.99,6.39,1,"Relieve stress whenever, where ever with the hybris stress ball. Squeeze this elastic ball a few times and feel the tensions built up from hard thinking and though decision making fade away. Get 4 and share them with friends and colleagues. 7 centimeter in diameter. ","Stress abzubauen, wann immer, wo immer mit der hybris-Stress-Ball. Diese elastische Squeeze Ball ein paar Mal und das Gef’_hl, die Spannungen aus der Fest Denken und obwohl Entscheidungs _— _— verblassen gebaut. Erhalten Sie 4 und teilen sie mit Freunden und Kollegen. 7 cm Durchmesser. ",Toys & games,1,ball-squeeze-2.jpg,ball-squeeze-1.jpg,,
hybris T-shirt 3-pack,hybris-T-Shirt 3er-Pack ,Gray/Blue/Black,1234033,44.99,35.99,1,Get the popular hybris t-shirts for you and your loved ones - all three in one package at an even lower price. ,Holen Sie sich die beliebten hybris T-Shirts f’_r Sie und Ihre Lieben - alle drei in einem Paket zu einem noch g’_nstigeren Preis. ,T-shirts,1,t-shirt-3-pack.jpg,t-shirt-gray-1.jpg,t-shirt-half-button-1.jpg,t-shirt-keep-calm-1.jpg
hybris Coffee Mugs 2-pack,hybris Kaffeetasse 2-pack ,White/Black,1234034,14.99,11.99,1,"Spend your morning, afternoon, and evening drinking coffee with a friend from hybris mugs.  Get caffinated in style. ","Verbringen Sie Ihren Vormittag, Nachmittag, Abend und trinken Kaffee mit einem Freund aus hybris-Tassen. Holen caffinated im Stil. ",Coffee mugs,1,mug-coffee-2-pack.jpg,mug-coffee-white-1.jpg,mug-coffee-black-1.jpg,
hybris Coffee Mugs with Coffee Beans - Package,hybris Kaffeetasse mit Kaffeebohnen - Package ,White/Blue,1234035,16.49,13.19,1,"Drink your freshly brewed morning, afternoon, and evening coffee from the hybris mug.  Get caffinated in style. ","Trinken Sie Ihren frisch gebr’_hten Vormittag, Nachmittag, Abend und Kaffee aus der hybris Becher. Holen caffinated im Stil. ",Coffee mugs,1,mug-coffee-2-pack.jpg,mug-coffee-white-1.jpg,mug-coffee-black-1.jpg,
hybris Coffee Mug w/Stovetop Espresso Coffee Maker,hybris Kaffeetasse w / Kochfeld Espressomaschine ,White,1234036,24.99,19.99,1,"Drink your morning, afternoon, and evening coffee from the hybris mug.  Made fresh with a stylish stovetop espesso coffee maker. Get caffinated in style. ","Trinken Sie Ihren Vormittag, Nachmittag, Abend und Kaffee aus der hybris Becher. Frisch zubereitet mit einem stilvollen Herd espesso Kaffeemaschine. Holen caffinated im Stil. ",Coffee mugs,1,mug-coffee-espresso.jpg,mug-coffee-white-1.jpg,mug-coffee-black-1.jpg,
hybris Beer Mug w/Helles,hybris-Bierkrug w / Helles,Clear/Blue,1234037,7.99,6.39,1,Traditional bavarian beer mug with hybris logo in blue. Drink your beer in the same style as hybris employees have done since the company's first days. Comes with a traditional bavarian Helles from Augustiner Brau. ,Traditionellen bayerischen Bierkrug mit hybris-Logo in blau. Trinken Sie Ihr Bier in der gleichen Art wie hybris Mitarbeiter sind seit der ersten Tage des Unternehmens getan. Kommt mit einem traditionellen bayerischen Helles von Augustiner-Br’_u.,Beer mugs,1,mug-beer-2.jpg,mug-beer-1.jpg,,
