name_en,color_en,sku,price_usd,instock,description_en,description_de,active,image_main,image_alt,image_alt2,image_alt3
hybris Helmet,White,1234011,59.99,1,"Stay safe at any construction site with this safty helmet from hybris. With an ajustable strap in the back, this helmet to fits heads of all sizes. ","Bleiben Sie sicher auf jeder Baustelle mit diesem safty Helm von hybris. Einstellbar in den Rí_cken, Kí_pfe aller Grí_íôen passen. ",1,helmet-safty-1.jpg,helmet-safty-2.jpg,helmet-safty-3.jpg,
hybris Fruit Infuser Drinking Bottle,Clear/Blue,1234012,29.99,1,"Tired of plain water? Add some flavour with this handy water bottle. Just drop a few pieces of lime, fruits, cucumber or other tasty flavorings into the middle part and fill up with water. Helps you stay hydrated while coding on. ","Mí_de von klarem Wasser? Fí_gen Sie etwas Geschmack mit diesem handlichen Wasserflasche. Einfach fallen ein paar Stí_cke von Kalk, Obst, Gurken oder andere leckere Geschmacksstoffe in den mittleren Teil und mit Wasser auffí_llen. Hilft Sie hydratisiert bleiben, wí_hrend Codierung auf. ",1,bottle-water-fruit-infuser-1.jpg,bottle-water-fruit-infuser-2.jpg,bottle-water-fruit-infuser-3.jpg,bottle-water-fruit-infuser-4.jpg
hybris Earbuds,White/Black,1234013,15,1,"At work or play, hybris earbuds will silence those well-meaning personal space intruders so you can focus. ","Bei der Arbeit oder zu spielen, wird hybris Ohrhí_rer jene wohlmein persí_nlichen Raum Eindringlinge zum Schweigen zu bringen, so dass Sie konzentrieren kí_nnen. ",1,earbuds-1.jpg,earbuds-2.jpg,earbuds-3.jpg,
hybris Lanyard,Blue,1234014,1.99,0,Keep track of your new SAP entrance cards wearing the lanyard from hybris. Easy to hang around your neck and makes sure you'll never stay locked out of the office,"Behalten Sie Ihre neue SAP Eintrittskarten Tragen der Lanyard von hybris. Einfach um den Hals hí_ngen und sorgt dafí_r, dass Sie nie aus dem Bí_ro gesperrt bleiben ",1,lanyard-1.jpg,,,
hybris Lipbalm,White,1234015,1.49,1,Keep your lips from cracking this winter. hybris lipbalm is developed with a special formula from the Swiss alps. Making sure you can smile comfortably to your colleagues all day long. ,"Halten Sie Ihre Lippen vor Rissen in diesem Winter. hybris lipbalm ist mit einer speziellen Formel aus den Schweizer Alpen entwickelt. Dafí_r, dass Sie bequem an Ihre Kollegen den ganzen Tag lí_cheln kann. ",1,lipbalm-1.jpg,lipbalm-2.jpg,lipbalm-3.jpg,
hybris Sports Cap,Blue,1234016,14.99,1,80s style inspired cap for the coolest kids at the developer camp. Let your hair grow and develop groovy style. ,80er Jahre Stil inspiriert Kappe fí_r die coolsten Kids auf der Entwickler-Camp. Lassen Sie Ihr Haar wachsen und sich entwickeln groovy Stil. ,1,cap-sports-1.jpg,cap-sports-2.jpg,,
hybris Running Cap,Blue,1234017,19.99,1,"Whether your training for the yearly B2-Run, triathlons or just staying in shape and healthy, this cap will keep the sun out of your face and make you look sporty and fresh while doing so. ","Ob Ihr Training fí_r die jí_hrlichen B2-Run, Triathlon oder einfach in Form zu bleiben und gesund, diese Kappe wird die Sonne aus dem Gesicht zu halten und machen Sie sportlich und frisch aussehen, wí_hrend dies zu tun. ",1,cap-running-1.jpg,,,
hybris Water Bottle,Clear/Blue,1234018,24.99,1,Drink you water with style. Fashonably designed with easy grip. Stylish top in stainless steel that makes the bottle easy to open and close. Staying hydrated has never been easier. ,"Trinken Sie Wasser mit Stil. Fashonably mit einfachen Griff konzipiert. Stylishes Top aus Edelstahl, die die Flasche leicht zu í_ffnen und zu schlieíôen ist. Bleiben hydratisiert war noch nie einfacher. ",1,bottle-water-1.jpg,bottle-water-2.jpg,bottle-water-3.jpg,
hybris Thermos - Blue,Blue,1234019,14.99,1,Practical thermos with hook. Make sure your coffee or tea stays warm for hours in this sleek looking thermos with printed hybris logo. ,"Praktische Thermoskanne mit Haken. Stellen Sie sicher, Ihren Kaffee oder Tee warm bleibt fí_r Stunden in diesem schlanke suchen Thermos mit gedruckten hybris-Logo. ",1,bottle-thermo-blue-1.jpg,bottle-thermo-blue-2.jpg,bottle-thermo-2-pack.jpg,
hybris Pashmina,Blue,1234020,39.99,1,Cold? Warm up with blue - hybris blue.  Our pashmina will keep you warm as you code while keeping you looking cool.  ,"Kalt? Aufwí_rmen mit blau - hybris blau. Unsere Pashmina hí_lt Sie warm, wie Sie Code zu halten, wí_hrend Sie auf der Suche cool. ",1,scarf-1.jpg,scarf-2.jpg,,
hybris USB,Silver,1234021,5.99,0,"Store, move or bring your files with you on this neat hybris USB Flash Drive. Modern and practical design. Stores up to 8GB. ","Speichern, verschieben oder bringen Sie Ihre Dateien mit Ihnen auf diesem ordentlichen hybris USB-Flash-Laufwerk. Modernen und praktischen Design. Speichert bis zu 8 GB. ",1,usb-stick-1.jpg,,,
hybris Keep Calm T-shirt,Blue,1234022,12.49,1,Keep calm and hybris on! The must-have t-shirt for any hybris developer. Don't be lame and hurry up order it now!,"Bewahren Sie Ruhe und hybris auf! Das Must-Have-T-Shirt fí_r jede hybris-Entwickler. Sie lahm und nicht beeilen, um es jetzt! ",1,t-shirt-keep-calm-1.jpg,t-shirt-keep-calm-2.jpg,t-shirt-keep-calm-3.jpg,t-shirt-3-pack.jpg
hybris Keyholder - Blue,Blue,1234023,3.99,1,Keep your keys packed away in this leather pocket. Makes sure your phone screen is not scratched and broken by keys in your pocket or bag. ,"Halten Sie Ihre Schlí_ssel verstaut in dieser Ledertasche . Stellt sicher, dass Ihr Handy-Bildschirm ist nicht zerkratzt und mit Schlí_ssel in der Hosentasche oder Handtasche gebrochen. ",1,keyholder-blue.jpg,,,
hybris Keyholder - Black,Black,1234024,3.99,1,Keep your keys packed away in this leather pocket. Makes sure your phone screen is not scratched and broken by keys in your pocket or bag. ,"Halten Sie Ihre Schlí_ssel verstaut in dieser Ledertasche . Stellt sicher, dass Ihr Handy-Bildschirm ist nicht zerkratzt und mit Schlí_ssel in der Hosentasche oder Handtasche gebrochen. ",1,keyholder-black.jpg,,,
hybris Tight Grip Pen,Blue,1234025,2.49,1,Handwriting made comfortable with a non-slip rubber surface. Long-lasting pen of top quality. ,Handschrift gemí_tlich gemacht mit einer Anti-Rutsch-Gummi-Oberflí_che. Lang anhaltende Feder von Top-Qualití_t. ,1,pen-tight-grip-roller-1.jpg,pen-tight-grip-roller-2.jpg,,
hybris Mousepad,Blue,1234026,1.99,0,High quality mousepad in blue from hybris. ,Hochwertiges Mousepad in blau von hybris.,1,mouse-pad-1.jpg,,,
hybris Squeeze Ball,Black,1234027,2.49,1,"Relieve stress whenever, where ever with the hybris stress ball. Squeeze this elastic ball a few times and feel the tensions built up from hard thinking and though decision making fade away. 7 centimeter in diameter. ","Stress abzubauen, wann immer, wo immer mit der hybris-Stress-Ball. Diese elastische Squeeze Ball ein paar Mal und das Gefí_hl, die Spannungen aus der Fest Denken und obwohl Entscheidungs äó†äó†verblassen gebaut. 7 cm Durchmesser. ",1,ball-squeeze-1.jpg,ball-squeeze-2.jpg,,
hybris Lipbalm 2-pack,White,1234028,2.49,1,Keep your lips from cracking this winter. hybris lipbalm is developed with a special formula from the Swiss alps. Making sure you can smile comfortably to your colleagues all day long. ,"Halten Sie Ihre Lippen vor Rissen in diesem Winter. hybris lipbalm ist mit einer speziellen Formel aus den Schweizer Alpen entwickelt. Dafí_r, dass Sie bequem an Ihre Kollegen den ganzen Tag lí_cheln kann. ",1,lipbalm-3.jpg,lipbalm-1.jpg,lipbalm-2.jpg,
hybris Thermos 2-pack,White/Blue,1234029,26.99,1,Practical thermos with hook. Make sure your coffee or tea stays warm for hours in this sleek looking thermos with printed hybris logo. ,"Praktische Thermoskanne mit Haken. Stellen Sie sicher, Ihren Kaffee oder Tee warm bleibt fí_r Stunden in diesem schlanke suchen Thermos mit gedruckten hybris-Logo. ",1,bottle-thermo-2-pack.jpg,bottle-thermo-white-1.jpg,bottle-thermo-blue-1.jpg,
hybris Women's T-shirt - Gray,Gray,1234030,14.99,1,Body shaped t-shirt for women in dark grey. Look perfectly relaxed in jeans and this simple t-shirt with a fashionable cut. ,Kí_rper geformt T-Shirt fí_r Frauen in dunkelgrau. Schauen Sie in Jeans perfekt entspannt und diese einfache T-Shirt mit einem modischen Schnitt. ,1,t-shirt-gray-1.jpg,t-shirt-gray-2.jpg,t-shirt-3-pack.jpg,
hybris Mens Half Bottom T-shirt,Black,1234031,19.99,1,Get the smart casual look with this black t-shirt with collar and three buttons. ,Holen Sie sich das smart casual Look mit diesem schwarzen T-Shirt mit Kragen und drei Kní_pfen. ,1,t-shirt-half-button-1.jpg,t-shirt-half-button-2.jpg,t-shirt-3-pack.jpg,
hybris Squeeze Ball - 4-pack,Pink/Blue/Green/Black,1234032,7.99,1,"Relieve stress whenever, where ever with the hybris stress ball. Squeeze this elastic ball a few times and feel the tensions built up from hard thinking and though decision making fade away. Get 4 and share them with friends and colleagues. 7 centimeter in diameter. ","Stress abzubauen, wann immer, wo immer mit der hybris-Stress-Ball. Diese elastische Squeeze Ball ein paar Mal und das Gefí_hl, die Spannungen aus der Fest Denken und obwohl Entscheidungs äó†äó†verblassen gebaut. Erhalten Sie 4 und teilen sie mit Freunden und Kollegen. 7 cm Durchmesser. ",1,ball-squeeze-2.jpg,ball-squeeze-1.jpg,,
hybris T-shirt 3-pack,Gray/Blue/Black,1234033,44.99,1,Get the popular hybris t-shirts for you and your loved ones - all three in one package at an even lower price. ,Holen Sie sich die beliebten hybris T-Shirts fí_r Sie und Ihre Lieben - alle drei in einem Paket zu einem noch gí_nstigeren Preis. ,1,t-shirt-3-pack.jpg,t-shirt-gray-1.jpg,t-shirt-half-button-1.jpg,t-shirt-keep-calm-1.jpg
hybris Coffee Mugs 2-pack,White/Black,1234034,14.99,1,"Spend your morning, afternoon, and evening drinking coffee with a friend from hybris mugs.  Get caffinated in style. ","Verbringen Sie Ihren Vormittag, Nachmittag, Abend und trinken Kaffee mit einem Freund aus hybris-Tassen. Holen caffinated im Stil. ",1,mug-coffee-2-pack.jpg,mug-coffee-white-1.jpg,mug-coffee-black-1.jpg,
hybris Coffee Mugs with Coffee Beans - Package,White/Blue,1234035,16.49,1,"Drink your freshly brewed morning, afternoon, and evening coffee from the hybris mug.  Get caffinated in style. ","Trinken Sie Ihren frisch gebrí_hten Vormittag, Nachmittag, Abend und Kaffee aus der hybris Becher. Holen caffinated im Stil. ",1,mug-coffee-2-pack.jpg,mug-coffee-white-1.jpg,mug-coffee-black-1.jpg,
hybris Coffee Mug w/Stovetop Espresso Coffee Maker,White,1234036,24.99,1,"Drink your morning, afternoon, and evening coffee from the hybris mug.  Made fresh with a stylish stovetop espesso coffee maker. Get caffinated in style. ","Trinken Sie Ihren Vormittag, Nachmittag, Abend und Kaffee aus der hybris Becher. Frisch zubereitet mit einem stilvollen Herd espesso Kaffeemaschine. Holen caffinated im Stil. ",1,mug-coffee-espresso.jpg,mug-coffee-white-1.jpg,mug-coffee-black-1.jpg,
hybris Beer Mug w/Helles,Clear/Blue,1234037,7.99,1,Traditional bavarian beer mug with hybris logo in blue. Drink your beer in the same style as hybris employees have done since the company's first days. Comes with a traditional bavarian Helles from Augustiner Brau. ,Traditionellen bayerischen Bierkrug mit hybris-Logo in blau. Trinken Sie Ihr Bier in der gleichen Art wie hybris Mitarbeiter sind seit der ersten Tage des Unternehmens getan. Kommt mit einem traditionellen bayerischen Helles von Augustiner-Brí_u.,1,mug-beer-2.jpg,mug-beer-1.jpg,,
